time,target,y,error,steer
11.072,0.5000,0.5262,0.5000,-0.0145
11.104,0.5000,0.5257,0.5000,-0.0138
11.136,0.5000,0.5252,0.5000,-0.0130
11.168,0.5000,0.5248,0.5000,-0.0122
11.200,0.5000,0.5243,0.5000,-0.0115
11.232,0.5000,0.5238,0.5000,-0.0107
11.264,0.5000,0.5233,0.5000,-0.0099
11.296,0.5000,0.5228,0.5000,-0.0092
11.328,0.5000,0.5223,0.5000,-0.0084
11.360,0.5000,0.5218,0.5000,-0.0077
11.392,0.5000,0.5214,0.5000,-0.0069
11.424,0.5000,0.5209,0.5000,-0.0062
11.456,0.5000,0.5204,0.5000,-0.0054
11.488,0.5000,0.5199,0.5000,-0.0046
11.520,0.5000,0.5194,0.5000,-0.0039
11.552,0.5000,0.5189,0.5000,-0.0031
11.584,0.5000,0.5184,0.5000,-0.0024
11.616,0.5000,0.5179,0.5000,-0.0017
11.648,0.5000,0.5174,0.5000,-0.0009
11.680,0.5000,0.5170,0.5000,-0.0002
11.712,0.5000,0.5165,0.5000,0.0006
11.744,0.5000,0.5160,0.5000,0.0013
11.776,0.5000,0.5155,0.5000,0.0020
11.808,0.5000,0.5150,0.5000,0.0028
11.840,0.5000,0.5145,0.5000,0.0035
11.872,0.5000,0.5140,0.5000,0.0042
11.904,0.5000,0.5135,0.5000,0.0049
11.936,0.5000,0.5130,0.5000,0.0057
11.968,0.5000,0.5125,0.5000,0.0064
12.000,0.5000,0.5121,0.5000,0.0071
12.032,0.5000,0.5116,0.5000,0.0078
12.064,0.5000,0.5111,0.5000,0.0085
12.096,0.5000,0.5106,0.5000,0.0092
12.128,0.5000,0.5101,0.5000,0.0099
12.160,0.5000,0.5096,0.5000,0.0106
12.192,0.5000,0.5091,0.5000,0.0114
12.224,0.5000,0.5087,0.5000,0.0120
12.256,0.5000,0.5082,0.5000,0.0127
12.288,0.5000,0.5077,0.5000,0.0134
12.320,0.5000,0.5072,0.5000,0.0141
12.352,0.5000,0.5067,0.5000,0.0148
12.384,0.5000,0.5062,0.5000,0.0155
12.416,0.5000,0.5058,0.5000,0.0162
12.448,0.5000,0.5053,0.5000,0.0168
12.480,0.5000,0.5048,0.5000,0.0175
12.512,0.5000,0.5043,0.5000,0.0182
12.544,0.5000,0.5038,0.5000,0.0188
12.576,0.5000,0.5034,0.5000,0.0195
12.608,0.5000,0.5029,0.5000,0.0202
12.640,0.5000,0.5024,0.5000,0.0208
12.672,0.5000,0.5019,0.5000,0.0215
12.704,0.5000,0.5015,0.5000,0.0221
12.736,0.5000,0.5010,0.5000,0.0227
12.768,0.5000,0.5005,0.5000,0.0234
12.800,0.5000,0.5001,0.5000,0.0240
12.832,0.5000,0.4996,0.5000,0.0246
12.864,0.5000,0.4991,0.5000,0.0253
12.896,0.5000,0.4987,0.5000,0.0259
12.928,0.5000,0.4982,0.5000,0.0265
12.960,0.5000,0.4977,0.5000,0.0271
12.992,0.5000,0.4973,0.5000,0.0277
13.024,0.5000,0.4968,0.5000,0.0283
13.056,0.5000,0.4964,0.5000,0.0289
13.088,0.5000,0.4959,0.5000,0.0295
13.120,0.5000,0.4955,0.5000,0.0301
13.152,0.5000,0.4950,0.5000,0.0307
13.184,0.5000,0.4946,0.5000,0.0313
13.216,0.5000,0.4941,0.5000,0.0319
13.248,0.5000,0.4937,0.5000,0.0325
13.280,0.5000,0.4932,0.5000,0.0331
13.312,0.5000,0.4928,0.5000,0.0336
13.344,0.5000,0.4923,0.5000,0.0342
13.376,0.5000,0.4919,0.5000,0.0348
13.408,0.5000,0.4915,0.5000,0.0353
13.440,0.5000,0.4910,0.5000,0.0359
13.472,0.5000,0.4906,0.5000,0.0364
13.504,0.5000,0.4902,0.5000,0.0370
13.536,0.5000,0.4897,0.5000,0.0375
13.568,0.5000,0.4893,0.5000,0.0380
13.600,0.5000,0.4889,0.5000,0.0386
13.632,0.5000,0.4885,0.5000,0.0391
13.664,0.5000,0.4880,0.5000,0.0396
13.696,0.5000,0.4876,0.5000,0.0401
13.728,0.5000,0.4872,0.5000,0.0406
13.760,0.5000,0.4868,0.5000,0.0411
13.792,0.5000,0.4864,0.5000,0.0416
13.824,0.5000,0.4860,0.5000,0.0421
13.856,0.5000,0.4856,0.5000,0.0426
13.888,0.5000,0.4852,0.5000,0.0431
13.920,0.5000,0.4848,0.5000,0.0436
13.952,0.5000,0.4844,0.5000,0.0440
13.984,0.5000,0.4840,0.5000,0.0445
